#,objectid,highway,name,ref,kod,name_kz,name_ru,location,Shape__Length,len_km,start_km,end_km,ref2,ref3,data_kgp.kgp.Road.area,geometry_wkt
11,967,trunk,Алматы - Усть-Каменогорск - Шемонаиха - гр РФ,A-3,2,,Алматы - Усть-Каменогорск,,4075.83981128791,,,,,,,"LINESTRING (76.95672909974935 43.37691680045553, 76.95313530052202 43.37353289944231, 76.95008879988154 43.37069750003852, 76.9495630994891 43.37021589963244, 76.94850129980641 43.36923390048996, 76.94738259993531 43.368186399712265, 76.94593549935253 43.36681009951175, 76.94452999975059 43.365378899464574, 76.94359719993936 43.36423110034699, 76.94354270004938 43.364166900101196, 76.94345450075983 43.36406280052258, 76.9429796998097 43.36345110037611, 76.9429376999769 43.36339200057043, 76.94268949995545 43.36305410006644, 76.94246310024934 43.36274030013307, 76.942001200005 43.36204119972094, 76.94189870043444 43.36189039961067, 76.94164079950625 43.36144379989868, 76.9409044001622 43.36012530026708, 76.94051370038724 43.35939089938272, 76.94027860049762 43.358861999891815, 76.93946430015043 43.35675590043512, 76.93849230055517 43.3542072003931)"
12,968,trunk,Алматы - Усть-Каменогорск - Шемонаиха - гр РФ,A-3,2,,Алматы - Усть-Каменогорск,,4013.5126959311,,,,,,,"LINESTRING (76.93885949950393 43.35449669967724, 76.93987010060532 43.35754060033753, 76.94042200036304 43.35883339970732, 76.94053940028921 43.359110400114275, 76.94062589996625 43.35931439947331, 76.94102060083748 43.36009600053036, 76.94170299975484 43.36129469965491, 76.94176739997756 43.36140789982925, 76.94207690013566 43.361908700221754, 76.94231489978702 43.36230039963747, 76.94261169956364 43.36270569983628, 76.94284829963979 43.3630360002998, 76.94370610000628 43.364172399679326, 76.94398609949047 43.36454660036006, 76.9446576997598 43.365316700123564, 76.94474119996211 43.36540310012541, 76.94547549994334 43.3661680997392, 76.94605959981241 43.36676289961097, 76.94696489949787 43.36762189992711, 76.94749229950285 43.36811739991624, 76.94806950031057 43.3686571001734, 76.94877720027792 43.369317899622004, 76.9497702995026 43.37024499988361, 76.95020390012061 43.370649800345596, 76.9533311000163 43.37355250053815, 76.95381090009103 43.37398720012685, 76.95685720040719 43.3768201996064)"
13,999,trunk,,,4,,пр. Райымбека,,221.607567716239,,,,,,,"LINESTRING (76.8296678996019 43.24381850023514, 76.82924819951462 43.2437230002845, 76.82874979982196 43.24358300003484, 76.82809579934565 43.24342299972948, 76.82778219927658 43.243355600126215)"
14,1000,trunk,Ташкентский тракт,A-2,4,,пр. Райымбека,,3848.50047583116,,,,,,,"LINESTRING (76.82778219927658 43.243355600126215, 76.82672180006743 43.24310149998037, 76.82555939985274 43.24283799986224, 76.82536650012021 43.242794300102474, 76.8247687000447 43.2426524006545, 76.82368630019593 43.24239679968052, 76.82308080066014 43.24225329997763, 76.8222127999236 43.242039399800746, 76.82045770026757 43.241594199396125, 76.81992130004174 43.24147619971124, 76.81948210022459 43.24136379949496, 76.81823162558618 43.24107136596042, 76.81659876597908 43.24068958165745, 76.81450590067455 43.24024029964032, 76.81376689980942 43.2400602000636, 76.81312849947636 43.239835700465726, 76.81283510072143 43.23972660006629, 76.81266990054067 43.23966520000274, 76.81072460058954 43.238800700119405, 76.80995630027311 43.23847330050054, 76.80965779998567 43.23834839967685, 76.80896750038538 43.23805939988766, 76.8072242998136 43.23730700044515, 76.80479310022697 43.236296599959815, 76.80437010062766 43.23611030019089, 76.8028396992686 43.235436299749054, 76.80093240074895 43.23463109983804, 76.79988349997542 43.23416319975125, 76.79880910052258 43.233763899481055, 76.79841110013932 43.2336175998576, 76.79794609980893 43.23347630014286, 76.79712039984078 43.233264299888255, 76.79639589958097 43.23316759942627)"
15,1001,trunk,,,4,,,,1022.76891330769,,,,,,,"LINESTRING (76.84314630027825 43.257790399477535, 76.8426790999737 43.25772779945583, 76.84223230040928 43.25770540013891, 76.8418903998155 43.2577169995292, 76.84138809963785 43.257766500049556, 76.84092880001626 43.25782500001791, 76.84056889987913 43.257809299979385, 76.84032150025664 43.257760199878504, 76.8400818998074 43.25766480029289, 76.83987719980531 43.25751360033485, 76.83978730000493 43.25744659969946, 76.8396374996431 43.25726610022797, 76.83957590036745 43.25714860063796, 76.83952930026209 43.25699969967639, 76.83954359964478 43.25681429997945, 76.83960419999384 43.25658609961275, 76.8396862000096 43.256401699640705, 76.83976250021489 43.256208799878046, 76.83985619988891 43.25597779970112, 76.83988659977643 43.25590290000477, 76.83996549970614 43.25553120031997, 76.83996449988123 43.25511460035124, 76.83987479950687 43.254655499645196, 76.8396717003026 43.25411140028224, 76.83940901943879 43.25347382065255)"
16,1280,trunk,,A-2,4,,пр. Рыскулова,,11113.4519252723,,,,,,,"LINESTRING (76.84307519952182 43.257591400193114, 76.8433470997954 43.257653899604456, 76.84390399957599 43.25778100025387, 76.84420390033698 43.2578506998431, 76.84600639959896 43.25826950020055, 76.84683619947805 43.25846309998828, 76.84850520010565 43.25892670043579, 76.84999180050978 43.259457499962075, 76.85011509967244 43.25949960001263, 76.85151640054875 43.259997899816824, 76.85155149952352 43.26001329966784, 76.85189670052763 43.26013580030648, 76.85304620003656 43.26055340020253, 76.85441580026483 43.261012100563555, 76.8580271992852 43.26230819962273, 76.85872520014243 43.26256770029571, 76.85941219933235 43.26278800008341, 76.8598798999985 43.26295880019835, 76.86098790003625 43.26334520004134, 76.86109870004005 43.26338390033543, 76.86243770005646 43.26386510006604, 76.86260000047545 43.2639203999253, 76.86650360079653 43.26534209982798, 76.86750739985455 43.2656986996809, 76.86938520039526 43.26632659968382, 76.8701074000696 43.26658069974965, 76.87147570043565 43.267058899911724, 76.87310640049279 43.26764020032625, 76.87544099974536 43.268477600036334, 76.87611829982517 43.26870619997181, 76.8774429995606 43.269153399988575, 76.87884600004942 43.269627000614165, 76.88055770029746 43.27021219973288, 76.88117650028933 43.27042379996729, 76.88407370003128 43.27139240009412, 76.88494209961982 43.271653299697924, 76.88546420046293 43.27182490037823, 76.88595859995765 43.271987299765286, 76.88640119989812 43.27212400035132, 76.88687319990125 43.27230370032626, 76.88757600045703 43.272608299931626, 76.88843159995106 43.27302430012413, 76.88940719999404 43.27349709949909, 76.89053969978451 43.27395060009192, 76.8934101000866 43.275038899823834, 76.89610500012486 43.27605450009907, 76.8967349994134 43.27627240051379, 76.89935819951899 43.27726700009803, 76.90016039955925 43.27757109939549, 76.90059539975242 43.27771499985016, 76.90104100006599 43.277841899693286, 76.90141009984993 43.277918100033204, 76.90243574503735 43.27811815710882, 76.90317751361187 43.27826635045385, 76.9035008397405 43.27834140248828, 76.90371326615237 43.27840053472533, 76.90411000350433 43.27852562155812, 76.90448202820284 43.27864458343368, 76.9048831430452 43.27878256463462, 76.90541160036727 43.27895303865161, 76.90562976431886 43.27902104173609, 76.90615998144058 43.27917102089988, 76.90694495898023 43.27938985124749, 76.9074072993991 43.279516073334385, 76.90811486641577 43.279709385814975, 76.90999077959604 43.28022222955555, 76.91162614999436 43.280662293770554, 76.91363951529459 43.281204694227874, 76.91403850023138 43.281313399882, 76.91430960010604 43.28138799953483, 76.91518741673369 43.281652710765314, 76.91537978825684 43.28172325606774, 76.91565569232165 43.281838966718915, 76.91597306261995 43.28201775711838, 76.91675162439184 43.28251121118609, 76.91699839160042 43.28268979296008, 76.91777467883801 43.28324567155357, 76.91912304738455 43.28421538921486, 76.92033962589235 43.28509712487063, 76.92147100009376 43.285966799920466, 76.92240439997963 43.28664040011079, 76.92246510004169 43.2866839003514, 76.9232814997517 43.287269099577806, 76.92418269952618 43.28791729967376, 76.9253360007054 43.28875679987861, 76.92569550019388 43.289014499451014, 76.9262398999173 43.28939330053288, 76.92678980002522 43.289772099909506, 76.92700969952193 43.2899185000522, 76.92723769912759 43.29004339973505, 76.92737449996892 43.290113699912276, 76.92745280072234 43.29015649998408, 76.92750329951603 43.290183999354355, 76.92831679946428 43.29052919987425, 76.92862070042322 43.290640300339305, 76.92933720028712 43.29091120070257, 76.93044960027309 43.29127790004309, 76.9304668497232 43.29128032979859)"
17,1281,trunk,,A-2,4,,пр. Рыскулова,,6257.84215742128,,,,,,,"LINESTRING (76.93095350035026 43.29160830012845, 76.93002550023758 43.29128750006143, 76.92924240017686 43.291016700107974, 76.92892050057289 43.29090189944219, 76.92858480015123 43.29078949956461, 76.92837190032719 43.29071249997068, 76.92827919957975 43.2906770000911, 76.92768900014988 43.290423900362015, 76.92740769990519 43.29028500006157, 76.92727139942546 43.290210599634555, 76.9271344997694 43.290140200180296, 76.92689600065475 43.290009600198516, 76.92666749978918 43.2898573997197, 76.92611169954647 43.28949610007564, 76.92591300029048 43.28935790058141, 76.92556569992354 43.28911630049556, 76.92520460053552 43.28885739950616, 76.92405120054161 43.28801779998946, 76.92380630003224 43.28784169971332, 76.92315050023043 43.287370000500495, 76.92227329984705 43.28674119941225, 76.92133879952497 43.28606679994103, 76.92110359992233 43.28589319984218, 76.9202396604692 43.2852224503522, 76.91882092958144 43.28419598356918, 76.91634656414877 43.28242277188331, 76.91560515400207 43.28195378775979, 76.9154510030993 43.28187782463132, 76.91519968682218 43.28178098160873, 76.91456711925024 43.281581200125174, 76.91348956760903 43.281283154402644, 76.91156523433665 43.28075781165601, 76.91066442083772 43.280512285583775, 76.90996578756653 43.28032911889825, 76.90772040000483 43.27970930014262, 76.90712302213755 43.279545638889324, 76.90673097039809 43.27943647424537, 76.90592656229884 43.27920449815448, 76.90551889065323 43.279087372481435, 76.90491285033164 43.278899743868116, 76.90439427986757 43.27872462304538, 76.90419500748641 43.278654305781615, 76.9038492917476 43.27854111874615, 76.90360790454933 43.2784651650908, 76.90321104772141 43.278363892312875, 76.90265053851 43.2782551735409, 76.90137590008872 43.27801380011632, 76.90099780008397 43.27793570000712, 76.9005846999191 43.27781850060485, 76.90010189947135 43.27766029982375, 76.89852999953942 43.27707519979055, 76.89694639994921 43.27650280047192, 76.89574170076273 43.2760346994341, 76.89528479964291 43.27586459984777, 76.89491200059663 43.275723999832714, 76.89295629995114 43.27501570044719, 76.89223290012758 43.27474479993045, 76.89140959955958 43.274414499883, 76.89062019961374 43.27411460014781, 76.88925240050764 43.27355940010126, 76.8882438996674 43.27311999940101, 76.88560459995531 43.27207130002253, 76.8831261992904 43.2711964003976)"
18,1282,trunk,,A-2,4,,пр. Рыскулова,,4748.33466492932,,,,,,,"LINESTRING (76.88181899963504 43.270815199986515, 76.88159150039101 43.27074010007851, 76.8809363994785 43.27052389944721, 76.87975809998159 43.2700976999324, 76.87893429995026 43.269807899720995, 76.87628819999148 43.26892820045399, 76.87387779999695 43.268079600034355, 76.87370149933423 43.26801580048228, 76.87197609977814 43.26738649977158, 76.87052620004495 43.2668747998484, 76.86934329937715 43.26645430038157, 76.8690369999164 43.266351899517026, 76.86824709960898 43.2660690002481, 76.86741079952048 43.26579170038655, 76.86687410015568 43.26559909987756, 76.8636728000288 43.26445879967619, 76.86327990027974 43.26431879998914, 76.86322839986448 43.26430150025822, 76.8631237003198 43.26426429986738, 76.86293809939896 43.26419960012515, 76.86251970007221 43.26405380009713, 76.86181219953085 43.26380709979062, 76.8612032998717 43.26359479949757, 76.8608852998544 43.263472800365065, 76.86036060018516 43.26327139989918, 76.85867879946305 43.2627078001728, 76.85822979992449 43.26254929975001, 76.85813980041112 43.26251749978922, 76.85750319940357 43.262292700263465, 76.85666359980303 43.261996299525705, 76.85598150002467 43.26175540000441, 76.85546930041257 43.26157460060675, 76.8544784002637 43.26122470032166, 76.85166650004956 43.26023189993644, 76.85142100036386 43.26014519982084, 76.85025319947768 43.25973860015193, 76.85016149945348 43.259704399762526, 76.84989080022743 43.25960350071674, 76.84842799978844 43.25905800041585, 76.8473184995642 43.2587702005645, 76.8459234006566 43.25841580016389, 76.84327259981394 43.257817099624006, 76.84314630027825 43.257790399477535)"
19,1301,trunk,,A-2,4,,пр. Райымбека,,1190.71866992643,,,,,,,"LINESTRING (76.83737909998453 43.24819799965732, 76.83718199972971 43.247647000252385, 76.8371177998313 43.24752640019253, 76.83697539979079 43.24733929982785, 76.83663220023311 43.24702960015305, 76.8364770998111 43.246884599836775, 76.83639039980979 43.24671370032145, 76.83630819946971 43.24633510009062, 76.83627959980599 43.246076200290645, 76.83623599917537 43.24592700004643, 76.83617430018673 43.24579210030089, 76.83605130016309 43.245663900181, 76.83589760021457 43.245556500415915, 76.8351728008158 43.245374200249024, 76.83493990000197 43.24531010011027, 76.8342659991472 43.24513339986537, 76.83373689952968 43.244990099644774, 76.83345199973566 43.244881499901055, 76.83296199929086 43.24468670002024, 76.83069979975866 43.244098299747435, 76.8296678996019 43.24381850023514)"
20,1306,trunk,,,4,,ул. Бурундайская,,2909.09734660287,,,,,,,"LINESTRING (76.93606217625191 43.34947367174841, 76.93376957683215 43.347051171077936, 76.93354187726385 43.346800171141254, 76.93336957679907 43.34658607134171, 76.9331254766886 43.346275871345746, 76.93292787697051 43.345932871434684, 76.93275167691908 43.34557767155934, 76.93253744758846 43.34464589307507, 76.93241860766291 43.34398257886416, 76.93240111476936 43.34367386488673, 76.93240705712496 43.34354422528383, 76.9326328522649 43.34181567209836, 76.93269417396112 43.34120893769802, 76.93273220234205 43.340769872866495, 76.93281776687287 43.339815673713396, 76.93282727464182 43.33899283793046, 76.93278917709063 43.33838757085359, 76.93269697670483 43.33720987131571, 76.93269357747978 43.33708767090737, 76.93273487033846 43.33594334252051, 76.93281532525194 43.334260437772066, 76.93285008556187 43.3336181014482, 76.93294753480386 43.331868518720675, 76.9329277395283 43.33170255728047, 76.93287426192109 43.331479533261756, 76.93282427696374 43.33121157115251)"
